id,sku_id,description,primary_image
47e8ef6f-daac-44b2-9c80-6e0f4b645fd7,10850,"SCULPTURE, CERAMIC, BRONZE",https://fileserver-g-p.sourcerer.tech/files/e4e7b9b6-9f5a-4480-988c-2b5a90bc644a
0560ce7b-803c-480e-a01f-1bc43fa5ac87,10850D,"HAMMERED CERAMIC SCULPTURE, BRONZE",https://fileserver-g-p.sourcerer.tech/files/135095bd-bed8-462f-9b37-72f40516bee1
f56a6cb1-8205-47ad-8eba-c9451d02362d,10851,SILVER CERAMIC WIDE LEAF TRAY,https://fileserver-g-p.sourcerer.tech/files/0d1d0739-5aba-4952-a665-87ca45b03781
c58b9905-2a56-4a40-b146-4d13d2df44dc,10852,"SILVER CERAMIC ANCHOR 10""",https://fileserver-g-p.sourcerer.tech/files/095c7a8d-53ad-4045-9cd8-506721190bde
30c76879-d192-43f8-ae2f-8a06eccd0eff,10852-01,"WHITE CERAMIC ANCHOR 10""",https://fileserver-g-p.sourcerer.tech/files/3e2370e3-0abf-45df-8c78-3ceef50d8fdf
0581aea8-237e-4d74-8851-be42b47bb03b,10853,"SILVER CERAMIC ANCHOR 13""",https://fileserver-g-p.sourcerer.tech/files/a643e857-54ff-454e-b088-9c0e9221a517
85737b68-0bbb-4f77-8529-64ac1b37e5f8,10854,"SILVER CERAMIC SAILBOAT 13""",https://fileserver-g-p.sourcerer.tech/files/055ab915-79f6-497c-b903-8125d4f5f418
920fceb0-b553-4733-8b65-1078b24a87b5,10854-01,"WHITE CERAMIC SAILBOAT 13""",https://fileserver-g-p.sourcerer.tech/files/8e3a0fd5-6b28-4d64-8cae-7ede644ecb93
21ad5f27-4112-4306-be12-00d2276a1c62,10855,"SILVER CERAMIC SAILBOAT 8""",https://fileserver-g-p.sourcerer.tech/files/694306e5-1b0b-4d63-9e39-16a28698873f
a3fc869d-3682-47ea-8e6d-96ed8f106001,10855-01,"WHITE CERAMIC SAILBOAT 8""",https://fileserver-g-p.sourcerer.tech/files/00dad627-ad11-44df-9da8-2fe23f81c702
4ab8c8c2-e4f6-48d4-a182-18ea05355982,10856,CERAMIC HAMMERED SILVER TRAY,https://fileserver-g-p.sourcerer.tech/files/f126a025-ae1f-461a-b81a-4bc164236139
1504f8c9-ed37-4393-82ba-b8a5c161694a,10857,"CERAMIC HORSE HEAD DECOR, SILVER",https://fileserver-g-p.sourcerer.tech/files/aca451cc-ef3f-48e0-a588-2f1722cb349a
d772ae3b-38ba-4269-9caa-0c871fb5213c,10858,SILVER CERAMIC AMPERSAND,https://fileserver-g-p.sourcerer.tech/files/312501e1-1a8e-4aea-82be-87ee7c2e0533
2deb640c-894c-4eaf-8db4-72a54f654218,10859,TURQUOISE CERAMIC TRAY W/ GOLDEDGE,https://fileserver-g-p.sourcerer.tech/files/8366bda0-1ff6-4c8f-b379-7614e687176c
6589caed-1526-4f89-a95b-8772d5511f51,10860,"DECORATIVE CERAMIC TRAY, LIGHTBLUE",https://fileserver-g-p.sourcerer.tech/files/707ed3ef-56d2-4f9e-a92d-a1e84b1d328f
51b957f6-0d1e-49be-9286-a1385b22ba63,10861,"DECORATIVE CERAMIC TRAY, PINK",https://fileserver-g-p.sourcerer.tech/files/f3436d37-3b9f-4787-8e25-937402e0386e
4bd91d78-280c-4b9e-8297-5c96e84a5e29,10862,"DECORATIVE CERAMIC VASE, SILVER",https://fileserver-g-p.sourcerer.tech/files/100d98ad-430c-4bf7-b481-1aabb16ad66b
ce8e42c9-bd69-488b-8fbd-02fa79ad82fd,10863,"DECORATIVE CERAMIC VASE, SILVER",https://fileserver-g-p.sourcerer.tech/files/9383198d-7df9-46da-9ff6-48b706079d17
7f8b45c8-c152-47db-9976-1ea89a39f042,10864,"DECORATIVE CERAMIC VASE, WHITE",https://fileserver-g-p.sourcerer.tech/files/13b28ea2-4c05-42da-9cf6-ce0eec7b1082
6efeb77d-47d1-40ec-9eb1-15c2201a5a5f,10865,"DECORATIVE CERAMIC VASE, WHITE",https://fileserver-g-p.sourcerer.tech/files/95937e17-ec30-45d3-b958-96fa73d1ec49
b582b004-185f-40cf-96e7-40e64464c2e8,10866,"DECORATIVE CERAMIC VASE, WHITE",https://fileserver-g-p.sourcerer.tech/files/47c74766-1192-4542-bcd6-d5f172e3c039
6965c0e8-2ecb-4e50-a6fc-e91f6d62319d,10867,"VASE W/CUTOUTS, CERAMIC, GREEN",https://fileserver-g-p.sourcerer.tech/files/b16a0eb5-20fb-4d17-b0ab-7d7ecc7ea63e
68c365de-1ca4-4f08-b7d6-2e0a0780f7d0,10867D,"CUTOUT CERAMIC VASE, GREEN",https://fileserver-g-p.sourcerer.tech/files/954a1329-08c1-40ef-8f7f-a5bcaec60521
4eeb039c-7582-41a4-86af-bbc2b90a4207,10868,"VASE W/CUTOUTS, CERAMIC, BEIGE",https://fileserver-g-p.sourcerer.tech/files/18fd32e1-4bab-4c67-b5cd-c8f67ce6ed52
e80a6452-a6bc-45fd-8829-a229ca8166ad,10868D,"CUTOUT CERAMIC VASE, BEIGE",https://fileserver-g-p.sourcerer.tech/files/d1b006b3-014f-478f-8d09-3b3719f20acc
ba055f48-3cf3-4341-b038-ad542afe4daf,10869,"VASE W/CUTOUTS, CERAMIC, GRAY",https://fileserver-g-p.sourcerer.tech/files/44462c92-5076-4e52-95be-a6e50617583c
47f9dfa4-b300-48af-824b-c12e04c1fa24,10869D,"CUTOUT CERAMIC VASE, GRAY",https://fileserver-g-p.sourcerer.tech/files/c49e51a3-0472-4f0e-80c1-12d63433bce3
12c01ccd-724a-4f27-9aa8-3f3c153f7bbf,10870,WHITE ZIG ZAG JUG VASE 12,https://fileserver-g-p.sourcerer.tech/files/63a3eb46-f347-4719-a744-c1cc2d117d3a
86fa7118-4661-4e0b-9723-e09107c85594,10871,WHITE ZIG ZAG JUG VASE 7.5,https://fileserver-g-p.sourcerer.tech/files/841172c4-b9d6-4f39-8e55-b4d35290ebd7
a55e15b8-176f-4238-b562-04cc9dc05c52,10872,WHITE ZIG ZAG JUG VASE 15.75,https://fileserver-g-p.sourcerer.tech/files/d0c610a3-0082-4f0d-a081-7d476fc84016
